segment_id,zone,latitude,longitude,line_age_years,conductor_material,span_length_m,visual_condition_score,vegetation_proximity_score,past_fault_count,months_since_last_inspection,average_load_percentage,overload_hours_last_month,max_wind_speed_kmph,heavy_rainfall_days,failure_within_30_days,risk_score,risk_level,recommendation,priority_rank
LT-0368,West,12.939019,79.930438,32,AAC,53.0,8,9,2,15,102.3,31.0,69.2,5,1,90.6,Critical,Inspect within 48 hours,14
LT-0558,East,12.947364,80.181698,27,ACSR,56.8,10,1,3,35,84.2,23.8,78.1,4,1,90.6,Critical,Inspect within 48 hours,15
LT-1601,Central,12.891645,80.097323,35,ACSR,28.4,10,0,2,11,115.0,64.8,49.0,6,0,90.1,Critical,Inspect within 48 hours,16
LT-0565,West,12.984022,79.955642,34,ACSR,48.6,10,9,2,35,86.1,22.5,38.7,2,0,89.3,Critical,Inspect within 48 hours,17
LT-1685,North,13.081628,80.135543,30,AAC,47.7,4,9,3,36,82.8,10.8,42.7,5,1,89.3,Critical,Inspect within 48 hours,18
LT-1332,East,12.935393,80.203985,26,AAC,16.3,9,8,3,32,66.3,4.7,50.0,5,1,89.1,Critical,Inspect within 48 hours,19
LT-0953,South,12.716033,80.041193,31,ACSR,46.2,3,3,3,8,123.1,72.7,71.9,5,1,89.1,Critical,Inspect within 48 hours,20
LT-0682,South,12.754844,80.017244,13,ACSR,35.8,6,9,1,33,108.6,88.7,59.8,4,1,89.0,Critical,Inspect within 48 hours,21
LT-0291,Central,12.927427,80.175883,23,ACSR,39.0,9,3,3,33,88.5,25.5,33.0,8,1,89.0,Critical,Inspect within 48 hours,22
LT-0858,Central,12.845012,80.07423,19,AAC,15.0,3,10,1,35,89.1,27.1,66.3,8,1,88.9,Critical,Inspect within 48 hours,23
LT-1452,West,12.975731,79.901465,30,AAC,20.7,5,6,1,24,105.9,62.8,47.7,6,1,88.9,Critical,Inspect within 48 hours,24
LT-0065,West,12.966923,79.908035,22,ACSR,31.8,9,5,1,28,74.6,55.0,72.7,6,1,88.8,Critical,Inspect within 48 hours,25
LT-0734,South,12.748536,80.004535,35,ACSR,31.8,7,10,0,23,72.2,50.2,46.6,6,1,88.7,Critical,Inspect within 48 hours,26
LT-1780,East,12.962813,80.23785,25,AAC,16.2,8,10,2,35,104.9,20.8,40.0,3,1,88.5,Critical,Inspect within 48 hours,27
LT-0628,North,13.103941,80.158987,32,Copper,15.0,2,8,1,16,82.9,62.8,88.4,4,1,88.3,Critical,Inspect within 48 hours,28
LT-0920,East,12.984802,80.219019,29,ACSR,16.3,10,7,1,35,90.5,32.8,51.4,2,0,88.3,Critical,Inspect within 48 hours,29
LT-0890,West,12.997412,79.944849,31,AAC,27.0,9,10,2,35,66.6,11.3,19.3,6,0,88.3,Critical,Inspect within 48 hours,30
LT-1222,South,12.698647,80.017499,35,Copper,28.4,3,0,6,35,70.4,8.7,69.0,2,1,88.2,Critical,Inspect within 48 hours,31
LT-0563,Central,12.900536,80.054325,24,ACSR,31.9,5,9,1,34,107.6,37.3,64.1,4,1,88.1,Critical,Inspect within 48 hours,32
LT-0161,North,13.115887,80.175573,33,AAC,38.9,8,6,2,21,58.3,11.4,71.0,4,1,88.0,Critical,Inspect within 48 hours,33
LT-1231,South,12.77551,80.020417,14,AAC,30.9,7,5,1,34,72.9,56.8,81.0,5,0,87.9,Critical,Inspect within 48 hours,34
LT-1101,North,13.084416,80.162467,33,AAC,22.9,6,7,1,36,70.7,19.7,56.6,3,0,87.8,Critical,Inspect within 48 hours,35
LT-0870,South,12.767358,80.025973,31,ACSR,23.2,8,1,1,34,101.3,49.0,21.6,8,0,87.4,Critical,Inspect within 48 hours,36
LT-0992,West,12.934163,79.934783,24,AAC,36.9,1,8,1,36,110.0,71.5,59.2,4,1,87.3,Critical,Inspect within 48 hours,37
LT-0437,North,13.081288,80.135838,30,ACSR,35.5,8,0,0,36,61.0,64.2,47.9,8,0,87.3,Critical,Inspect within 48 hours,38
LT-1331,West,12.908312,79.985745,29,AAC,43.0,3,6,5,24,90.3,34.2,43.5,4,1,87.0,Critical,Inspect within 48 hours,39
LT-1090,East,12.91013,80.207943,33,ACSR,28.2,5,8,2,20,92.4,27.3,43.3,8,0,86.9,Critical,Inspect within 48 hours,40
LT-0200,South,12.751782,80.013041,26,AAC,37.0,1,4,3,28,77.3,13.5,70.6,8,1,86.9,Critical,Inspect within 48 hours,41
LT-0181,Central,12.869332,80.134056,30,AAC,28.1,5,6,0,36,77.6,27.0,50.0,8,0,86.8,Critical,Inspect within 48 hours,42
LT-1063,South,12.749511,80.040681,26,ACSR,25.6,3,8,6,5,35.0,35.7,44.4,8,0,86.8,Critical,Inspect within 48 hours,43
LT-1240,North,13.037648,80.172257,30,AAC,30.8,7,9,1,24,65.8,23.8,55.4,6,1,86.3,Critical,Inspect within 48 hours,44
LT-0872,North,13.051412,80.153394,11,AAC,39.6,6,5,3,30,112.4,100.0,51.8,2,1,86.3,Critical,Inspect within 48 hours,45
LT-1432,West,12.927494,79.91269,35,AAC,31.7,4,8,2,28,94.3,57.1,26.9,4,0,86.2,Critical,Inspect within 48 hours,46
LT-1743,North,13.100814,80.173906,31,AAC,22.8,8,10,2,28,73.3,26.3,34.8,2,0,86.2,Critical,Inspect within 48 hours,47
LT-0845,North,13.129396,80.143704,20,AAC,23.4,4,2,2,25,86.2,46.6,69.3,7,0,86.1,Critical,Inspect within 48 hours,48
LT-1560,Central,12.90434,80.108116,25,ACSR,30.4,2,4,1,30,98.4,86.1,55.2,5,0,85.9,Critical,Inspect within 48 hours,49
LT-0600,West,12.945253,79.942642,31,ACSR,15.0,9,4,0,30,70.3,68.8,44.5,5,0,85.9,Critical,Inspect within 48 hours,50
LT-1478,Central,12.893034,80.115486,20,AAC,20.9,10,10,1,27,70.7,24.3,51.3,6,1,85.8,Critical,Inspect within 48 hours,51
LT-0037,North,13.069473,80.175685,22,AAC,44.4,4,1,2,34,96.8,66.2,64.3,4,1,85.7,Critical,Inspect within 48 hours,52
LT-1148,Central,12.895689,80.105386,20,AAC,34.0,9,7,2,34,93.2,37.5,53.3,2,0,85.3,Critical,Inspect within 48 hours,53
LT-1030,East,12.930378,80.227706,31,ACSR,29.3,4,5,3,31,82.9,4.5,46.4,7,1,85.0,Critical,Inspect within 48 hours,54
LT-0083,Central,12.878476,80.032888,30,AAC,21.2,10,9,1,3,104.1,76.4,35.7,5,0,85.0,Critical,Inspect within 48 hours,55
LT-0518,West,12.94444,79.887447,28,ACSR,20.3,10,6,0,35,105.6,24.6,42.4,6,1,84.9,Critical,Inspect within 48 hours,56
LT-1312,Central,12.982685,80.155371,16,ACSR,25.6,5,3,4,26,52.5,58.2,54.6,5,1,84.8,Critical,Inspect within 48 hours,57
LT-1356,North,13.136559,80.172492,20,AAC,33.5,9,7,1,24,70.4,61.6,60.4,3,1,84.7,Critical,Inspect within 48 hours,58
LT-1159,East,12.998061,80.267275,33,ACSR,35.8,3,8,0,33,96.4,72.0,53.5,1,1,84.6,Critical,Inspect within 48 hours,59
LT-0614,Central,12.871477,80.117153,29,AAC,34.4,2,7,2,31,106.9,47.8,47.1,3,0,84.6,Critical,Inspect within 48 hours,60
LT-0233,Central,12.862391,80.06275,35,AAC,26.0,5,4,1,24,130.0,50.3,40.3,4,0,84.5,Critical,Inspect within 48 hours,61
LT-0474,North,13.096978,80.117149,27,AAC,32.5,5,9,2,34,94.8,25.2,45.6,2,0,84.4,Critical,Inspect within 48 hours,62
LT-0715,West,12.924837,79.892105,33,AAC,29.0,10,2,1,23,62.1,71.6,67.5,1,0,84.1,Critical,Inspect within 48 hours,63
LT-1076,South,12.753967,79.988624,32,ACSR,44.2,9,9,2,8,80.1,23.3,65.1,4,0,84.1,Critical,Inspect within 48 hours,64
LT-1121,West,12.921198,79.957962,28,ACSR,40.4,9,5,1,24,100.5,44.5,68.5,3,1,84.1,Critical,Inspect within 48 hours,65
LT-0150,North,13.081133,80.15375,24,AAC,50.1,7,9,2,30,118.9,29.3,39.6,3,1,84.0,Critical,Inspect within 48 hours,66
LT-1327,South,12.701716,80.010257,26,AAC,29.7,10,10,4,15,94.6,12.8,35.2,3,1,83.9,Critical,Inspect within 48 hours,67
LT-0517,South,12.751794,80.069557,31,AAC,32.1,9,9,1,22,69.9,9.9,55.6,4,0,83.8,Critical,Inspect within 48 hours,68
LT-0219,Central,12.936945,80.047229,21,AAC,25.8,10,2,0,36,114.5,53.6,43.4,5,0,83.6,Critical,Inspect within 48 hours,69
LT-0202,Central,12.899977,80.093896,26,AAC,52.1,3,10,3,36,50.8,3.5,58.0,4,0,83.5,Critical,Inspect within 48 hours,70
LT-0126,East,12.914012,80.214787,35,ACSR,30.3,10,1,3,25,79.2,28.9,44.2,3,0,83.3,Critical,Inspect within 48 hours,71
LT-1788,West,12.930676,79.927186,31,ACSR,41.2,10,5,1,14,89.9,70.5,39.5,6,0,83.2,Critical,Inspect within 48 hours,72
LT-1778,East,12.946494,80.248586,35,ACSR,15.0,10,9,1,35,84.2,6.2,42.7,0,1,83.0,Critical,Inspect within 48 hours,73
LT-0028,North,13.104072,80.170815,11,ACSR,46.5,10,4,2,21,96.9,100.0,43.6,5,0,83.0,Critical,Inspect within 48 hours,74
LT-0841,North,13.090041,80.143746,29,ACSR,18.3,6,3,0,26,95.3,83.3,58.3,2,1,82.9,Critical,Inspect within 48 hours,75
LT-1251,North,13.117111,80.138838,33,AAC,27.6,10,8,1,12,65.9,17.8,70.7,2,1,82.8,Critical,Inspect within 48 hours,76
LT-1047,South,12.685633,80.039509,35,ACSR,20.6,7,4,2,7,94.3,28.4,58.7,6,0,82.7,Critical,Inspect within 48 hours,77
LT-0019,Central,12.920392,80.013572,30,AAC,33.1,6,1,0,31,50.0,49.5,77.9,5,1,82.7,Critical,Inspect within 48 hours,78
LT-0815,North,13.102398,80.139354,30,ACSR,46.3,5,4,0,34,103.6,67.8,29.8,6,0,82.5,Critical,Inspect within 48 hours,79
LT-0613,Central,12.937612,80.097628,27,ACSR,29.4,4,9,3,28,85.0,24.4,46.1,2,1,82.4,Critical,Inspect within 48 hours,80
LT-1264,Central,12.867111,80.063515,27,AAC,41.7,9,6,0,33,83.2,35.8,51.0,5,0,82.3,Critical,Inspect within 48 hours,81
LT-0810,Central,12.917047,80.095691,30,ACSR,31.5,5,3,1,24,77.5,25.8,64.9,7,0,82.3,Critical,Inspect within 48 hours,82
LT-0630,Central,12.853692,80.093983,24,ACSR,35.2,10,6,1,34,95.9,44.7,30.3,5,0,82.2,Critical,Inspect within 48 hours,83
LT-1027,Central,12.947309,80.125082,33,ACSR,31.0,3,2,2,27,88.9,21.4,63.5,4,1,82.2,Critical,Inspect within 48 hours,84
LT-0817,Central,12.916402,80.142003,12,AAC,27.5,10,9,1,28,83.4,33.3,25.8,10,1,82.0,Critical,Inspect within 48 hours,85
LT-0585,Central,12.903347,80.200892,25,ACSR,16.4,6,4,1,27,90.8,12.7,71.9,5,1,82.0,Critical,Inspect within 48 hours,86
LT-0521,Central,12.976017,80.063168,13,ACSR,23.3,3,9,0,33,103.0,74.0,51.4,6,0,81.9,Critical,Inspect within 48 hours,87
LT-0506,West,12.944837,79.907177,22,ACSR,32.6,4,10,2,36,94.2,23.1,64.2,2,0,81.8,Critical,Inspect within 48 hours,88
LT-0972,North,13.144444,80.135354,28,AAC,38.6,6,7,1,26,81.5,9.6,45.2,7,1,81.4,Critical,Inspect within 48 hours,89
LT-0364,North,13.09943,80.171308,25,ACSR,22.3,5,7,1,36,64.5,21.8,31.7,8,0,81.3,Critical,Inspect within 48 hours,90
LT-1366,East,12.954068,80.21655,22,ACSR,30.6,7,10,2,25,92.3,24.7,39.9,6,0,81.3,Critical,Inspect within 48 hours,91
LT-0144,East,12.91059,80.208233,31,AAC,25.4,2,6,1,36,123.0,38.9,38.7,4,1,81.1,Critical,Inspect within 48 hours,92
LT-1326,Central,12.918031,80.058009,28,ACSR,36.9,9,4,1,30,99.8,43.9,50.5,2,0,81.1,Critical,Inspect within 48 hours,93
LT-0407,South,12.74217,80.004071,23,AAC,28.3,8,1,2,8,111.5,71.6,72.7,3,0,81.0,Critical,Inspect within 48 hours,94
LT-0023,Central,12.961182,80.033186,13,Copper,36.5,9,6,4,31,35.0,48.6,57.8,4,0,80.9,Critical,Inspect within 48 hours,95
LT-0791,South,12.790722,79.941069,35,AAC,34.4,10,1,3,26,67.5,23.0,29.9,3,1,80.8,Critical,Inspect within 48 hours,96
LT-1306,Central,12.996513,80.10332,34,AAC,38.5,8,9,0,15,97.7,39.2,55.5,1,1,80.8,Critical,Inspect within 48 hours,97
LT-1246,South,12.788814,80.019498,35,ACSR,35.1,10,9,0,24,62.7,15.9,63.1,1,1,80.8,Critical,Inspect within 48 hours,98
LT-0520,Central,12.865267,79.988573,32,AAC,31.8,7,2,3,33,73.5,8.5,44.4,4,1,80.8,Critical,Inspect within 48 hours,99
LT-1239,North,13.053174,80.129175,10,AAC,23.5,8,10,4,29,88.9,6.3,47.8,4,0,80.7,Critical,Inspect within 48 hours,100
LT-0638,West,12.908939,79.974714,27,Copper,23.2,8,1,2,35,109.4,46.4,40.1,5,1,80.6,Critical,Inspect within 48 hours,101
LT-0848,West,12.981263,79.927119,22,AAC,30.9,6,7,2,36,73.8,28.4,32.1,6,1,80.5,Critical,Inspect within 48 hours,102
LT-1303,West,12.928947,79.922185,30,ACSR,18.2,9,7,0,35,72.8,27.6,45.4,4,0,80.5,Critical,Inspect within 48 hours,103
LT-0496,East,12.95363,80.223969,32,AAC,47.8,8,8,1,4,82.9,32.8,46.4,9,1,80.5,Critical,Inspect within 48 hours,104
LT-1783,South,12.691504,80.0596,23,ACSR,30.3,4,9,1,19,105.8,69.4,41.3,6,0,80.5,Critical,Inspect within 48 hours,105
LT-0837,West,12.964955,79.897689,25,AAC,37.0,10,10,1,2,106.2,44.5,86.2,1,0,80.4,Critical,Inspect within 48 hours,106
LT-0448,West,12.97783,79.980043,30,ACSR,23.9,4,1,2,27,109.0,37.5,47.5,5,1,80.4,Critical,Inspect within 48 hours,107
LT-1278,North,13.118205,80.103493,25,Copper,34.4,5,6,1,36,128.3,59.8,26.7,5,1,80.4,Critical,Inspect within 48 hours,108
LT-0849,North,13.048588,80.204452,21,AAC,20.0,7,9,2,27,63.8,24.8,55.1,3,0,80.3,Critical,Inspect within 48 hours,109
LT-1129,West,12.950621,79.905186,12,AAC,34.3,3,8,3,24,96.1,64.6,44.0,7,0,80.3,Critical,Inspect within 48 hours,110
LT-1253,North,13.105887,80.157697,22,ACSR,16.2,6,7,2,24,93.9,12.8,47.8,6,1,80.3,Critical,Inspect within 48 hours,111
LT-0507,South,12.713176,79.998006,34,ACSR,44.8,5,9,1,18,97.9,48.0,36.6,5,0,80.2,Critical,Inspect within 48 hours,112
LT-0269,North,13.028487,80.151046,34,ACSR,36.9,1,10,2,10,105.5,55.4,39.5,5,0,79.9,Critical,Inspect within 48 hours,113
LT-0259,North,13.085575,80.13438,33,AAC,48.1,1,7,2,10,81.9,31.2,47.1,9,1,79.9,Critical,Inspect within 48 hours,114
LT-0947,West,12.981515,79.957893,3,AAC,18.6,9,9,2,18,113.2,63.4,52.3,6,1,79.8,Critical,Inspect within 48 hours,115
LT-0720,Central,12.838893,80.106816,20,AAC,29.7,7,1,3,32,100.3,31.7,39.2,6,1,79.7,Critical,Inspect within 48 hours,116
LT-1287,South,12.702771,79.98013,34,Copper,33.2,5,4,5,36,35.0,9.9,45.5,2,0,79.6,Critical,Inspect within 48 hours,117
LT-1723,West,12.940644,79.999137,31,AAC,22.6,9,10,1,27,83.8,47.8,24.0,1,1,79.6,Critical,Inspect within 48 hours,118
LT-0556,South,12.767907,79.997503,32,AAC,27.3,6,1,2,24,77.4,3.7,63.8,5,1,79.5,Critical,Inspect within 48 hours,119
LT-1526,North,13.060499,80.16349,33,AAC,15.0,3,10,1,19,79.9,11.4,51.5,5,0,79.4,Critical,Inspect within 48 hours,120
LT-1429,West,12.892122,79.944682,35,ACSR,42.1,5,8,0,31,77.7,18.5,64.7,4,0,79.3,Critical,Inspect within 48 hours,121
LT-0376,North,13.066769,80.172296,31,AAC,34.9,3,4,3,8,97.2,96.1,36.8,2,0,79.2,Critical,Inspect within 48 hours,122
LT-0779,West,12.976597,79.900076,17,ACSR,29.9,8,10,1,32,88.1,26.7,37.5,7,1,79.1,Critical,Inspect within 48 hours,123
LT-0317,South,12.710845,79.977583,23,AAC,20.9,6,7,2,24,72.8,24.9,74.6,2,0,79.0,Critical,Inspect within 48 hours,124
LT-0736,West,12.966808,79.899701,31,ACSR,42.0,2,4,0,36,103.8,42.9,64.3,4,0,78.8,Critical,Inspect within 48 hours,125
LT-0980,South,12.686945,79.987991,35,ACSR,23.7,6,1,2,20,52.1,10.4,63.8,7,1,78.8,Critical,Inspect within 48 hours,126
LT-1491,North,13.032755,80.123275,17,ACSR,32.4,6,8,2,23,87.1,29.5,54.7,7,1,78.7,Critical,Inspect within 48 hours,127
LT-1744,Central,12.901477,80.053176,18,ACSR,35.4,9,7,0,36,102.4,46.0,61.5,2,0,78.7,Critical,Inspect within 48 hours,128
LT-1733,West,12.931696,79.991978,32,ACSR,15.0,8,6,2,31,59.0,2.8,45.3,3,0,78.5,Critical,Inspect within 48 hours,129
LT-0410,Central,13.008443,80.045183,27,ACSR,42.7,8,3,1,26,77.0,33.9,56.4,4,1,78.3,Critical,Inspect within 48 hours,130
LT-0429,North,13.080607,80.13823,24,AAC,45.2,7,2,0,35,72.7,33.1,57.3,7,1,78.3,Critical,Inspect within 48 hours,131
LT-0114,East,12.960518,80.227076,34,ACSR,48.4,2,2,1,31,106.4,89.7,39.6,2,1,78.3,Critical,Inspect within 48 hours,132
LT-1126,East,12.956333,80.188187,14,ACSR,26.3,5,7,2,33,81.4,24.8,50.6,8,0,78.3,Critical,Inspect within 48 hours,133
LT-1791,West,12.976713,79.980191,29,AAC,33.8,9,2,1,28,102.7,44.2,47.1,2,1,78.3,Critical,Inspect within 48 hours,134
LT-1213,East,12.928863,80.266031,24,AAC,31.9,8,2,1,23,103.1,49.3,61.3,4,1,78.2,Critical,Inspect within 48 hours,135
LT-0825,Central,12.94388,80.090939,11,AAC,52.6,2,10,2,36,113.5,53.6,51.2,3,0,78.2,Critical,Inspect within 48 hours,136
LT-1068,West,12.940321,79.994383,29,AAC,27.6,8,8,1,17,88.9,41.9,34.9,5,1,78.1,Critical,Inspect within 48 hours,137
LT-1026,South,12.737538,80.025205,21,AAC,33.0,8,9,1,32,75.2,21.8,47.2,4,0,78.0,Critical,Inspect within 48 hours,138
LT-1365,East,12.936493,80.238978,23,AAC,24.7,4,10,4,23,79.0,29.9,25.9,4,0,77.9,Critical,Inspect within 48 hours,139
LT-1650,Central,12.934838,80.028562,13,AAC,40.3,10,9,2,36,64.1,26.4,54.1,2,1,77.9,Critical,Inspect within 48 hours,140
LT-1345,Central,12.891722,80.082471,20,ACSR,43.7,8,8,0,36,70.4,40.2,71.4,2,1,77.8,Critical,Inspect within 48 hours,141
LT-1093,South,12.754159,80.011731,15,ACSR,32.2,8,8,1,35,97.9,29.9,44.3,5,0,77.6,Critical,Inspect within 48 hours,142
LT-0821,North,13.046268,80.155368,19,ACSR,29.8,9,10,0,30,78.2,29.2,58.4,4,0,77.5,Critical,Inspect within 48 hours,143
LT-0284,South,12.752292,79.971604,22,ACSR,41.1,4,2,6,35,89.9,2.8,42.1,2,1,77.5,Critical,Inspect within 48 hours,144
LT-1117,North,13.013673,80.165303,27,ACSR,40.2,8,8,2,22,83.5,41.1,25.9,5,1,77.4,Critical,Inspect within 48 hours,145
LT-0625,Central,12.937662,80.082773,24,AAC,36.0,7,10,0,8,104.8,56.8,67.1,3,0,77.4,Critical,Inspect within 48 hours,146
LT-1756,East,12.908103,80.227218,23,AAC,44.0,1,1,1,35,70.8,93.5,45.6,7,0,77.3,Critical,Inspect within 48 hours,147
LT-0645,West,12.974307,79.860379,31,ACSR,28.5,10,3,0,32,122.7,21.4,40.4,4,0,77.3,Critical,Inspect within 48 hours,148
LT-1763,South,12.742989,80.028869,32,AAC,42.2,7,9,0,29,111.5,41.1,29.2,2,0,77.3,Critical,Inspect within 48 hours,149
LT-0397,Central,12.872355,80.065729,31,AAC,36.8,1,10,0,33,79.9,14.6,52.5,6,0,77.3,Critical,Inspect within 48 hours,150
LT-0961,East,12.935667,80.204414,34,AAC,48.0,8,10,1,4,107.5,71.8,31.7,3,0,77.1,Critical,Inspect within 48 hours,151
LT-1395,Central,12.878185,80.050956,35,AAC,44.0,1,9,1,36,74.7,10.5,51.7,3,0,77.0,Critical,Inspect within 48 hours,152
LT-1751,West,12.95567,79.919108,30,AAC,53.1,4,3,1,34,100.6,52.8,54.9,2,1,76.9,Critical,Inspect within 48 hours,153
LT-0724,Central,12.973578,80.129296,32,ACSR,35.9,1,5,1,24,75.8,45.6,42.8,6,0,76.8,Critical,Inspect within 48 hours,154
LT-0258,North,13.135658,80.200206,11,ACSR,23.6,7,2,2,35,116.1,54.0,53.0,2,1,76.7,Critical,Inspect within 48 hours,155
LT-1199,South,12.684366,79.99869,24,AAC,32.3,10,1,2,27,35.0,32.1,74.2,3,0,76.6,Critical,Inspect within 48 hours,156
LT-1389,Central,12.923031,80.146128,35,AAC,54.8,7,5,1,19,103.2,57.7,31.6,2,0,76.5,Critical,Inspect within 48 hours,157
LT-0576,East,12.939126,80.222242,31,Copper,26.0,8,8,2,30,74.2,19.6,28.0,5,0,76.5,Critical,Inspect within 48 hours,158
LT-1008,South,12.70103,80.037542,14,AAC,19.0,9,0,3,35,105.7,53.2,28.4,4,1,76.5,Critical,Inspect within 48 hours,159
LT-0596,South,12.718696,80.033162,35,ACSR,47.3,10,5,3,25,52.0,15.4,25.7,3,1,76.3,Critical,Inspect within 48 hours,160
LT-1558,East,12.968061,80.267627,2,AAC,18.5,9,8,3,24,83.0,21.1,69.3,5,0,76.3,Critical,Inspect within 48 hours,161
LT-0422,North,13.101105,80.186052,27,ACSR,41.9,8,3,1,30,89.7,24.9,60.6,2,0,76.0,Critical,Inspect within 48 hours,162
LT-0764,North,13.072466,80.134945,12,ACSR,28.0,6,10,3,32,91.3,53.1,26.0,3,0,76.0,Critical,Inspect within 48 hours,163
LT-1781,North,13.068277,80.191233,30,AAC,46.3,5,9,2,13,57.9,14.9,50.8,6,0,75.9,Critical,Inspect within 48 hours,164
LT-1021,Central,12.893767,79.994658,35,ACSR,50.5,10,1,2,26,62.9,42.0,43.1,2,0,75.9,Critical,Inspect within 48 hours,165
LT-0226,Central,12.911087,80.046916,33,AAC,39.1,9,5,2,12,62.8,18.5,53.1,4,0,75.9,Critical,Inspect within 48 hours,166
LT-0873,Central,12.908515,80.027706,19,AAC,31.2,5,5,1,33,90.0,6.8,36.1,11,1,75.9,Critical,Inspect within 48 hours,167
LT-1262,East,12.943252,80.230322,15,AAC,29.3,5,9,2,36,74.0,6.6,64.8,4,1,75.8,Critical,Inspect within 48 hours,168
LT-0408,Central,12.931175,80.071619,7,AAC,40.0,8,10,1,33,88.4,19.2,78.1,3,1,75.7,Critical,Inspect within 48 hours,169
LT-0166,South,12.652747,80.052729,24,AAC,24.8,9,10,2,27,82.7,4.5,39.6,3,0,75.6,Critical,Inspect within 48 hours,170
LT-1309,North,13.080145,80.163028,31,AAC,25.8,2,9,1,33,39.9,25.4,49.5,3,0,75.6,Critical,Inspect within 48 hours,171
LT-0092,West,12.926541,79.977859,29,AAC,25.1,4,5,2,15,80.3,44.4,64.1,3,0,75.6,Critical,Inspect within 48 hours,172
LT-1511,North,13.078637,80.191182,18,AAC,15.0,8,4,0,34,86.8,21.3,59.4,5,0,75.5,Critical,Inspect within 48 hours,173
LT-1061,Central,12.937295,80.044904,19,AAC,22.0,2,6,2,32,99.6,19.5,78.6,1,1,75.4,Critical,Inspect within 48 hours,174
LT-0134,South,12.755858,80.045142,11,ACSR,27.0,9,10,0,33,73.0,5.0,89.7,3,0,75.4,Critical,Inspect within 48 hours,175
LT-0653,West,12.92125,79.917976,29,AAC,29.2,1,9,3,28,86.3,10.0,41.4,4,0,75.2,Critical,Inspect within 48 hours,176
LT-1520,South,12.753638,80.03454,28,ACSR,46.1,5,4,2,15,74.7,14.2,77.4,5,1,75.2,Critical,Inspect within 48 hours,177
LT-0214,Central,12.901746,80.064619,15,AAC,26.8,10,9,1,11,110.6,42.6,72.4,2,0,75.0,Critical,Inspect within 48 hours,178
LT-1456,North,13.104645,80.110596,27,AAC,40.3,5,3,2,22,59.7,3.6,49.8,9,0,74.9,High,Inspect within 7 days,179
LT-1701,Central,12.876989,80.036551,30,AAC,40.8,9,2,1,35,81.6,26.5,35.2,4,0,74.8,High,Inspect within 7 days,180
LT-0881,East,12.922512,80.238632,11,ACSR,49.5,8,10,2,25,100.9,83.9,35.4,3,0,74.8,High,Inspect within 7 days,181
LT-0514,South,12.734573,80.012314,26,AAC,20.5,5,7,1,29,43.4,36.8,63.5,2,1,74.8,High,Inspect within 7 days,182
LT-1620,North,13.101882,80.234047,35,AAC,33.3,8,9,1,11,58.3,7.3,59.3,2,0,74.7,High,Inspect within 7 days,183
LT-0261,North,13.056889,80.166417,16,ACSR,28.3,8,0,4,28,93.5,5.9,54.3,5,0,74.7,High,Inspect within 7 days,184
LT-0662,Central,12.931568,80.140169,19,Copper,49.7,5,8,1,30,110.9,44.7,58.1,4,0,74.7,High,Inspect within 7 days,185
LT-0050,North,13.096696,80.102328,28,Copper,51.4,5,10,4,33,59.0,2.9,33.8,3,0,74.6,High,Inspect within 7 days,186
